Date,Open,Close,High,Low,Volume,RSI
01/30/2002,398.0,230.0,231.0,227.0,9526.0,0.0
11/03/2009,230.0,450.0,499.0,441.0,1180.0,0.0
11/04/2009,450.0,431.0,441.0,422.0,9010.0,0.0
11/05/2009,431.0,455.0,455.0,410.0,5860.0,0.0
11/08/2009,455.0,455.0,460.0,440.0,10360.0,0.0
11/09/2009,455.0,448.0,460.0,446.0,7680.0,0.0
11/10/2009,448.0,438.0,456.0,437.0,6350.0,0.0
11/11/2009,438.0,432.0,445.0,428.0,5530.0,0.0
11/12/2009,432.0,430.0,430.0,404.0,5210.0,0.0
11/15/2009,430.0,425.0,434.0,419.0,4350.0,0.0
11/16/2009,425.0,410.0,420.0,409.0,6410.0,0.0
11/17/2009,410.0,410.0,412.0,400.0,3860.0,0.0
11/18/2009,410.0,411.0,415.0,402.0,5160.0,0.0
11/19/2009,411.0,413.0,420.0,399.0,3440.0,0.0
11/22/2009,413.0,416.0,418.0,410.0,2410.0,51.57
11/23/2009,416.0,400.0,412.0,398.0,3120.0,49.78
11/24/2009,400.0,390.0,399.0,390.0,5000.0,48.64
11/25/2009,390.0,392.0,396.0,380.0,3330.0,48.89
11/26/2009,392.0,385.0,394.0,383.0,4560.0,48.0
11/30/2009,385.0,366.0,392.0,361.0,3590.0,45.59
12/01/2009,366.0,363.0,365.0,351.0,3730.0,45.2
12/03/2009,363.0,355.0,362.0,348.0,3900.0,44.13
12/06/2009,355.0,367.0,367.0,349.0,5990.0,46.2
12/07/2009,367.0,402.0,403.0,349.0,3670.0,51.8
12/08/2009,402.0,416.0,422.0,400.0,3810.0,53.86
12/09/2009,416.0,421.0,425.0,405.0,9850.0,54.61
12/10/2009,421.0,429.0,437.0,419.0,11400.0,55.85
12/13/2009,429.0,420.0,435.0,410.0,2490.0,54.07
12/14/2009,420.0,429.0,433.0,422.0,3630.0,55.59
12/15/2009,429.0,420.0,431.0,400.0,4080.0,53.67
12/16/2009,420.0,400.0,424.0,399.0,7610.0,49.57
